DateTime,Entries,UniqueIPs
1584044894,14691,14691
1584047074,14366,14366
1584048984,14353,14353
1584050941,14289,14289
1584052822,13841,13841
1584054738,13406,13406
1584056694,13094,13094
1584058581,12926,12926
1584060509,12918,12918
1584062418,12880,12880
1584064354,12821,12821
1584066296,12820,12820
1584068184,12797,12797
1584070105,12647,12647
1584072287,12366,12366
1584074184,12370,12370
1584076137,12336,12336
1584078024,12316,12316
1584079953,12290,12290
1584081861,12268,12268
1584083793,12229,12229
1584085707,12178,12178
1584087638,12157,12157
1584089543,12117,12117
1584091470,12113,12113
1584093389,12104,12104
1584095302,12079,12079
1584098233,12080,12080
1584100105,12066,12066
1584102061,12061,12061
1584103985,12040,12040
1584105863,12011,12011
1584107781,12012,12012
1584109709,12015,12015
1584111836,12016,12016
1584113664,12026,12026
1584115478,12030,12030
1584117378,12017,12017
1584119328,12037,12037
1584121221,12025,12025
1584123462,12024,12024
1584125322,12030,12030
1584127276,12000,12000
1584129180,12029,12029
1584131070,12021,12021
1584132982,12014,12014
1584134900,11710,11710
1584137003,11305,11305
1584138992,11306,11306
1584140902,11319,11319
1584142843,11294,11294
1584144768,11264,11264
1584146670,11262,11262
1584148589,11240,11240
1584150503,11215,11215
1584152427,11222,11222
1584154364,11215,11215
1584156265,11132,11132
1584158184,10844,10844
1584160118,10832,10832
1584162105,10812,10812
1584163964,10812,10812
1584165896,10802,10802
1584167777,10793,10793
1584169695,10780,10780
1584171614,10784,10784
1584173537,10764,10764
1584175462,10735,10735
1584177632,10718,10718
1584179571,10689,10689
1584181487,10703,10703
1584183379,10707,10707
1584185312,10681,10681
1584187501,10662,10662
1584189625,10672,10672
1584191545,10677,10677
1584193465,10677,10677
1584195390,10662,10662
1584197574,10651,10651
1584199457,10635,10635
1584201403,10809,10809
1584203311,11112,11112
1584205305,11126,11126
1584207144,11158,11158
1584209092,11176,11176
1584210976,11165,11165
1584212896,11194,11194
1584214816,11289,11289
1584216738,11310,11310
1584218656,11323,11323
1584220689,11346,11346
1584222530,11390,11390
1584224414,11403,11403
1584226362,11397,11397
1584228257,11416,11416
1584230171,11428,11428
1584232096,11444,11444
1584234210,11473,11473
1584236182,11486,11486
1584238107,11508,11508
1584240017,11517,11517
1584241951,11522,11522
1584243936,11181,11181
1584245825,11195,11195
1584247710,11202,11202
1584249619,11238,11238
1584251540,11229,11229
1584253461,11228,11228
1584255415,11246,11246
1584257339,11274,11274
1584259488,11272,11272
1584261381,11287,11287
1584263321,11330,11330
1584265224,11387,11387
1584267152,11392,11392
1584269119,11429,11429
1584271057,11458,11458
1584272902,11467,11467
1584274834,11483,11483
1584276748,11514,11514
1584278697,11525,11525
1584280576,11543,11543
1584282499,11554,11554
1584285408,11551,11551
1584287305,11558,11558
1584289247,11131,11131
1584291162,11249,11249
1584293056,12402,12402
1584295028,12693,12693
1584296896,12690,12690
1584299075,12674,12674
1584301277,12564,12564
1584303182,12565,12565
1584305080,12688,12688
1584306996,12867,12867
1584308921,13009,13009
1584310842,13200,13200
1584312741,13337,13337
1584314687,13396,13396
1584316595,13452,13452
1584318503,14463,14463
1584320699,15736,15736
1584322826,17337,17337
1584324759,18517,18517
1584326666,19707,19707
1584328592,20759,20759
1584330522,21674,21674
1584332416,22728,22728
1584334332,23854,23854
1584336267,24796,24796
1584338197,25729,25729
1584340125,26506,26506
1584342293,27427,27427
1584344180,28258,28258
1584346116,29142,29142
1584348027,30059,30059
1584349938,30951,30951
1584351873,31954,31954
1584353779,32745,32745
1584355726,33744,33744
1584357669,34605,34605
1584359549,35526,35526
1584361471,36312,36312
1584363378,37032,37032
1584365311,37376,37376
1584367479,38289,38289
1584369382,39052,39052
1584371332,39845,39845
1584373221,40115,40115
1584375371,40059,40059
1584377342,39991,39991
1584379251,39208,39208
1584381188,38810,38810
1584384319,38701,38701
1584386190,38645,38645
1584388141,38669,38669
1584390044,38674,38674
1584392009,41614,41614
1584393866,44550,44550
1584395816,46908,46908
1584397730,48609,48609
1584399884,51353,51353
1584401780,54066,54066
1584403723,56137,56137
1584405626,57677,57677
1584407542,59282,59282
1584409503,62277,62277
1584411410,65131,65131
1584413325,67817,67817
1584415221,68558,68558
1584417163,69352,69352
