DateTime,AddedIPs,RemovedIPs
1584294015,20,10
1584295202,199,0
1584295934,9,13
1584297863,12,8
1584298802,85,0
1584299773,20,6
1584301691,12,17
1584303623,9,5
1584305524,7,9
1584306002,162,0
1584307463,11,10
1584309364,9,12
1584309602,84,0
1584311287,16,8
1584313229,6,12
1584314651,143,0
1584315131,8,13
1584317313,89,2892
1584320402,133,0
1584322331,42,0
1584323065,17,55
1584324969,17,20
1584326170,43,0
1584326906,18,16
1584327602,194,0
1584328804,20,18
1584330725,18,11
1584332666,17,11
1584333846,9,25
1584334566,14,23
1584334802,199,0
1584336487,11,14
1584338413,18,19
1584341292,14,8
1584342002,240,0
1584343223,10,11
1584345125,9,16
1584348979,13,12
1584350883,159,18
1584352870,7,5
1584353702,329,0
1584354746,10,6
1584356914,4,8
1584357301,161,0
1584358809,10,17
1584360754,9,12
1584360902,148,0
1584362647,7,5
1584364595,195,18
1584366489,14,11
1584368421,17,6
1584370348,13,9
1584371702,374,0
1584372247,15,11
1584374181,11,8
1584375302,157,0
1584378015,12,29
1584379947,11,16
1584380172,833,774
1584381853,16,19
1584382501,237,0
1584383771,10,8
1584385690,16,11
1584387611,17,16
1584389545,20,12
1584389701,252,0
1584391449,19,10
1584393378,25,7
1584395289,22,12
1584397221,340,10
1584399125,9,15
1584400330,38,37
1584401050,22,6
1584402980,12,9
1584404102,247,2510
1584404886,8,13
1584406808,11,0
1584408744,18,0
1584410652,18,20
1584411302,249,0
1584411849,79,114
1584412583,17,18
1584414493,26,16
1584416407,44,13
1584418342,38,21
1584418502,304,0
1584419532,21,0
1584420251,24,12
1584422432,22,16
1584426250,282,23
1584428184,31,8
1584430084,15,12
1584432023,22,7
1584432902,294,0
1584433929,21,0
1584436101,23,10
1584438010,8,4
1584439943,11,5
1584440102,346,0
1584441853,6,8
1584444016,17,3
1584445928,9,9
1584447848,354,5
1584449781,10,6
1584451693,7,9
1584454502,357,0
1584455550,15,37
1584457452,18,13
1584459370,12,14
1584461305,7,12
