DateTime,AddedIPs,RemovedIPs
1582681453,0,1
1582687212,0,1
1582691063,0,1
1582692997,0,1
1582698734,0,2
1582704747,0,1
1582706664,1,2
1582710492,0,1
1582712445,0,1
1582716254,0,3
1582718181,1,0
1582728737,1,0
1582736447,1,0
1582740251,0,2
1582742170,2,0
1582744102,0,1
1582749864,0,1
1582755618,1,0
1582759449,1,0
1582763540,0,1
1582765736,2,0
1582779131,1,0
1582786916,1,0
1582792811,0,1
1582796667,1,1
1582798590,3,0
1582804349,0,1
1582806267,1,0
1582810103,2,0
1582812981,1,0
1582817050,0,1
1582823776,0,1
1582825692,1,0
1582829530,0,2
1582839151,1,0
1582845879,0,1
1582852576,1,1
1582862200,1,0
1582867946,2,0
1582873692,0,1
1582875622,0,1
1582877540,1,0
1582881402,1,1
1582883293,1,0
1582885221,3,3
1582887128,1,0
1582892887,2,1
1582895800,1,0
1582897698,1,2
1582899622,0,1
1582901546,1,0
1582909400,2,0
1582911373,2,0
1582913306,0,1
1582917141,1,0
1582919075,1,0
1582920996,0,1
1582923138,1,0
1582926984,0,1
1582928891,1,0
1582931775,0,1
1582933695,1,0
1582939479,1,1
1582941381,1,0
1582943289,2,0
1582948098,0,1
1582953852,0,2
1582957722,1,0
1582964438,0,1
1582968251,0,2
1582972090,1,3
1582974098,0,1
1582980011,0,1
1582983849,1,1
1582987693,0,1
1582991540,1,0
1582995382,0,1
1582997300,0,3
1583002096,0,1
1583005926,0,1
1583007848,0,1
1583015549,0,1
1583021317,1,1
1583023215,1,0
1583025138,0,1
1583027064,0,1
1583028984,0,2
1583030890,1,0
1583034730,0,1
1583038580,1,0
1583042434,1,0
1583044349,0,1
1583048225,1,0
1583057771,1,1
1583059694,1,0
1583074107,1,0
1583077930,2,1
1583081767,1,0
1583083687,1,0
1583085690,1,0
1583089464,2,0
1583093294,2,0
1583097170,1,0
1583100990,1,0
1583102889,1,0
1583106726,1,1
1583108658,0,1
1583112491,1,0
1583116348,1,0
1583119239,1,1
1583129072,3,0
1583134813,0,1
1583136756,1,0
1583138663,1,0
1583144426,0,1
1583146330,1,2
1583154971,1,0
1583160758,1,1
1583164585,0,2
1583168463,1,1
1583170337,2,2
1583172496,0,1
1583174411,3,0
1583176607,0,1
1583178518,0,2
1583180452,1,0
1583182359,0,1
1583188088,0,1
1583190976,1,1
1583198652,1,1
1583202537,0,1
1583205374,0,2
1583207291,1,0
1583209454,1,0
1583211392,1,0
1583215321,0,3
1583217130,1,0
1583220973,2,0
1583222901,0,1
1583224816,0,2
1583226985,1,0
1583228897,2,0
1583230810,1,0
1583232728,0,1
1583241374,0,1
1583243297,2,0
1583247130,0,1
1583249093,1,0
1583252892,0,1
1583255771,0,2
1583257693,1,1
1583259609,0,2
1583261529,0,2
1583267287,0,1
1583271131,0,1
1583273311,2,0
1583275210,3,0
1583277133,0,1
1583279051,1,0
1583280969,1,0
1583284808,0,1
1583286727,1,0
1583292492,1,1
1583296337,1,1
1583298498,0,1
1583303307,1,1
1583307158,0,2
1583314811,1,1
1583316749,1,3
